clave,gib_16_urbano,gib_18_urbano,gib_16_rural,gib_18_rural,grupo,grupo2,uno_u,uno_r,gto_u,gto_r,num_u,num_r,pje_gasto_r,pje_gasto_u
J026,0.526607460530001,0.600274787773312,0.711756874334758,0.811324826764683,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
K010,1.05044531066475,1.12455596056691,1.05030451083803,1.1244052270801,K,Enseres domésticos y mantenimiento de la vivienda,1,1,32.0929336197309,21.4205451546647,17,11,0.924664854719204,0.965085602343787
H111,0.187530820108753,0.196452997565951,0.317154898610147,0.332244217182839,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
B001,11.2079273015319,11.3137315138334,,,B,Transporte público,1,,199.872191676205,168.940150568105,5,3,7.29267246250636,6.01047497811203
J063,0.564439097476229,0.635947959548136,0.626700849531428,0.706097661002974,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
J041,2.70450807274737,2.79789216451216,1.54813870343368,1.60159446058334,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
R006,6.5936498255279,6.52618254552912,3.2874094130294,3.25377211392977,R,Vivienda y servicios de conservación,1,1,329.368942677755,110.766588906965,7,11,4.78148296879814,9.90464842522434
J019,4.56554840626752,4.7231924508994,4.09786979531684,4.23936534227495,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
H067,0.318884671743454,0.342046094233443,,,H,"Prendas de vestir, calzado y accesorios",1,,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
I007,0.135899948685401,0.151291096241842,,,I,"Cristalería, blancos y utensilios domésticos",1,,18.5388655662831,17.2764005041131,18,20,0.74577375350915,0.55749319940035
I025,0.0234522981740935,0.0257794392573734,0.0562973705263664,0.0618836854734134,I,"Cristalería, blancos y utensilios domésticos",1,1,18.5388655662831,17.2764005041131,18,20,0.74577375350915,0.55749319940035
J001,1.97166713630885,2.08831853726636,0.726041195016096,0.768996580837478,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
